cpu_percent,rss,vms,pfaults,pageins,time,iteration
6.7,8351744,34401157120,3055,3,2024-08-17 21:11:42,0
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:43,1
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:44,2
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:45,3
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:46,4
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:47,5
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:48,6
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:49,7
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:50,8
0.0,8351744,34401157120,3055,3,2024-08-17 21:11:51,9
96.7,8351744,34401157120,3055,3,2024-08-17 21:11:52,10
99.5,8351744,34401157120,3055,3,2024-08-17 21:11:53,11
100.1,8351744,34401157120,3055,3,2024-08-17 21:11:54,12
99.8,8351744,34401157120,3055,3,2024-08-17 21:11:55,13
99.3,8351744,34401157120,3055,3,2024-08-17 21:11:56,14
99.4,8351744,34401157120,3055,3,2024-08-17 21:11:57,15
11.2,8355840,34401157120,3056,3,2024-08-17 21:11:58,16
2.4,12431360,34405105664,4051,3,2024-08-17 21:11:59,17
2.6,16445440,34409074688,5031,3,2024-08-17 21:12:00,18
2.6,22511616,34416304128,6512,3,2024-08-17 21:12:01,19
2.4,26525696,34420137984,7492,3,2024-08-17 21:12:02,20
2.5,30539776,34424160256,8472,3,2024-08-17 21:12:03,21
2.5,34549760,34428411904,9451,3,2024-08-17 21:12:04,22
2.5,38563840,34432217088,10431,3,2024-08-17 21:12:05,23
2.5,42577920,34436104192,11411,3,2024-08-17 21:12:06,24
2.5,46587904,34440085504,12390,3,2024-08-17 21:12:07,25
